update,episodes,env_steps,mean_ep_reward,mean_ep_coverage,coverage_ratio,mean_ep_length,completion_rate,timeout_rate,collision_end_rate,wall_collision_rate,robot_collision_rate,human_collision_rate,wall_collisions_per_episode,robot_collisions_per_episode,human_collisions_per_episode,guide_hits_per_episode,guide_hit_rate,actor_loss,critic_loss,entropy,std
1980,50,25344000,-8481.6875,1.0,0.7001,1780.4,1.0,0.0,0.0,0.005417,0.000417,0.055911,20.6667,5.4,65.9333,103.9169,0.068203,-0.003,7.4692,-4.1692,1.0108
1990,112,25472000,-15583.2217,1.0,0.7568,1824.7,1.0,0.0,0.0,0.00776,0.00151,0.085182,11.9667,1.4667,115.5834,104.3002,0.036536,-0.0028,10.7997,-3.57,1.0164
2000,178,25600000,-35980.6016,1.0,0.5869,2094.4,1.0,0.0,0.0,0.023516,0.035911,0.288594,18.0667,18.2,241.9005,100.9668,0.034557,-0.003,35.9956,-3.7647,1.0225
2010,202,25728000,-236277.0,0.9802,0.6525,3775.9,0.3,0.7,0.0,0.066745,0.03349,0.45224,100.1667,305.3669,1446.7236,100.7002,0.023203,-0.0018,54.2036,-3.5561,1.0276
2020,238,25856000,-271010.5,0.8629,0.6696,3645.2,0.3,0.7,0.0,0.059062,0.03349,0.495286,232.931,153.6325,1700.0618,87.6001,0.019661,-0.0022,57.4378,-3.8314,1.036
2030,278,25984000,-305782.125,0.8757,0.5247,3820.4,0.15,0.85,0.0,0.070104,0.021302,0.375859,147.6159,85.9338,1970.7426,88.8001,0.027839,-0.0021,43.4679,-3.8326,1.0409
2040,308,26112000,-209863.8438,0.8664,0.5902,3579.8,0.4,0.6,0.0,0.037292,0.032135,0.35599,265.398,177.0334,1281.1937,89.0001,0.029766,-0.0023,41.8502,-3.6857,1.0469
2050,341,26240000,-191761.1875,0.8811,0.7279,3353.2,0.45,0.55,0.0,0.054688,0.022187,0.328021,156.45,116.5674,1203.1903,90.6335,0.026823,-0.002,38.7661,-3.4857,1.0494
2060,381,26368000,-193277.5625,0.9417,0.652,3667.1,0.35,0.65,0.0,0.025286,0.02474,0.302344,134.6331,83.383,1228.5811,95.7001,0.027604,-0.0021,35.2391,-3.1341,1.0521
2070,419,26496000,-142270.9375,0.9762,0.6152,3398.4,0.5,0.5,0.0,0.060365,0.045234,0.267292,139.4993,94.234,888.6652,96.6335,0.023958,-0.002,31.8176,-3.2494,1.0594
2080,460,26624000,-115514.5859,0.9522,0.6366,3321.6,0.65,0.35,0.0,0.064844,0.035312,0.211719,152.2999,76.4167,711.7444,90.9168,0.028229,-0.0019,26.7642,-3.0537,1.0642
2090,496,26752000,-130880.9766,0.9792,0.6426,3332.7,0.55,0.45,0.0,0.053906,0.027292,0.143073,126.3502,198.548,777.0969,93.0501,0.030156,-0.0018,19.1835,-3.0526,1.0694
2100,535,26880000,-61709.1172,0.9957,0.6378,3072.6,0.8,0.2,0.0,0.03763,0.062344,0.173151,81.2167,50.6834,379.0659,92.0834,0.026667,-0.0021,22.1947,-2.805,1.0782
2110,574,27008000,-73370.1875,0.9885,0.6981,3203.7,0.7,0.3,0.0,0.033047,0.014427,0.115729,115.967,9.05,461.7983,88.0334,0.029036,-0.0019,15.4843,-2.6595,1.085
2120,618,27136000,-62358.8242,0.9939,0.6131,3343.0,0.65,0.35,0.0,0.015417,0.008021,0.048333,198.4323,19.5666,364.9644,86.9501,0.025417,-0.0018,7.3531,-2.302,1.0942
2130,659,27264000,-22047.6133,0.9947,0.5958,3208.1,0.85,0.15,0.0,0.012005,0.00026,0.035208,82.0664,12.1334,122.8002,80.4,0.02349,-0.0018,5.2057,-2.1057,1.0999
2140,694,27392000,-21527.502,0.9995,0.6622,3193.3,0.95,0.05,0.0,0.008646,0.001302,0.045547,30.1667,2.1333,133.1167,78.55,0.018568,-0.0016,6.1439,-1.7201,1.1035
